index,category,question,human_answer,correct_answer
1,Puzzle,You have six horses and want to race them to see which is fastest. What is the minimum number of races needed to do this?,Race them on a single race track with at least six lanes - the order in which they cross the finish line determines which is the fastest.,One
2,Puzzle,"Suppose you're on a game show, and you're given the choice of three doors: Behind one door is a gold bar; behind the others, rotten vegetables. You pick a door, say No. 1, and the host asks you 'Do you want to pick door No. 2 instead?' What choice of door now gives you the biggest advantage?",It is not an advantage to switch. It makes no difference if I switch or not because no additional material information has been provided since the initial choice.,They have equal probability of winning
3,Spatial,"You are playing Russian roulette with a six-shooter revolver. Your opponent puts in five bullets, spins the chambers and fires at himself, but no bullet comes out. He gives you the choice of whether or not you should spin the chambers again before firing at yourself. Should you spin?","Yes, you should spin again. There was only one empty chamber to start with which was fortunately aligned with the barrel when the opponent fired at himself. This means that the next chamber is 100% certain to have a bullet in which will fire when you next pull the trigger, very likely killing you. However, if you spin the chamber then you have a 5/6 chance of firing a bullet and a 1/6 chance of getting the empty chamber.","Yes, you should spin again"
4,Puzzle,"A farmer wants to cross a river and take with him a wolf, a goat and a cabbage. He has a boat with three secure separate compartments. If the wolf and the goat are alone on one shore, the wolf will eat the goat. If the goat and the cabbage are alone on the shore, the goat will eat the cabbage. What is the minimum number of crossings the farmer needs to make to bring the wolf, the goat and the cabbage across the river without anything being eaten?","Place the wolf, goat, and cabbage in separate secure compartments in the boat and row across the river in one crossing without being harmed.",One crossing
5,Puzzle,"Bob has three boxes in front of him - Box A, Box B and Box C. Bob does not know what is in the boxes. Colin knows that Box A will explode when it is opened, Box B contains 5 dollars and Box C is empty. Should Bob open a box? What box should Bob open?",Bob should not open a box because he has a 1/3 chance of killing himself. The 1/3 chance of “winning” $5 is generally not worth that sort of risk!,"No, Bob should not open any box"
6,Counting,"A robot has 8 arms. There are 5 objects on a table: a knife, a fork, a spoon, a teddy bear and a doll. The robot picks up each object with an arm. He then shakes hands with himself. How many arms does he have free?","A hand is used for each of the five objects and then two hands are used to shake hands with himself. This means that seven hands are being used, leaving one arm/hand free.",1
7,Spatial,"Alan, Bob, Colin, Dave and Emily are standing in a circle. Alan is on Bob's immediate left. Bob is on Colin's immediate left. Colin is on Dave's immediate left. Dave is on Emily's immediate left. Who is on Alan's immediate right?",Bob is on Alan's immediate right because it is stated that Alan is on Bob's immediate left.,Bob'
8,Linguistic,Write me a sentence without any words that appear in The Bible,Cryptographic algorithms safeguard nuclear warheads.,Cryptographic algorithms safeguard nuclear warheads.
9,Popular science,"Which weighs more, a pound of water, two pounds of bricks, a pound of feathers, or three pounds of air.",Three pounds of air.,Three pounds of air.
10,Relational,I get out on the top floor (third floor) at street level. How many stories is the building above the ground?,"One story above the ground, as exiting at street level requires a single story building.",One story above the ground
11,Spatial,"In a toy box, there's a red ball, a blue truck, and a green dinosaur. The red ball is not next to the blue truck, and the green dinosaur is next to the red ball. Which toy is in the middle?",The green dinosaur.,The green dinosaur'
12,Spatial,"Four children - Alex, Bella, Charlie, and Dana - are sitting around a picnic table. Alex is facing Bella. Charlie is sitting to the right of Bella. Who is sitting to the left of Alex?",Dana,Dana'
13,Spatial,"A man leaves home at 0m elevation, makes a left turn and walks straight for a km and reaches 300m elevation, makes another left turn and walks straight for a km and reaches 500m elevation, makes another left turn and walks straight for a km and reaches 900m elevation, and turns left again and walks straight for a km. How far away is he from his starting point and what is his final elevation?",He is back at his starting point and at 0m elevation.,"0m from starting point, 0m elevation."
14,Puzzle,"A group of four people needs to cross a bridge at night. The bridge is very old and rickety. They have only one torch and because it's night-time, the torch is necessary to cross the bridge. Each person walks at a different speed: - A takes 1 minute to cross, - B takes 2 minutes, - C takes 5 minutes, and - D takes 10 minutes. What is the fastest time they can all get across the bridge?","10 minutes, the speed of the slowest person as they cross the bridge together.",10 minutes
15,Puzzle,"You're in a room with two doors that lead out. One door leads to certain death, and the other door leads to freedom. There are two guardians, one by each door. One taller guardian always tells the truth and guards the death door, the other always lies. What is the minimum number of questions needed to ask the guards to get to safety?",Zero questions. The door to freedom is behind the shorter guardian.,Zero questions
16,Puzzle,"You have 3 switches in front of you - A, B and C. You have 3 light bulbs in front of you in the same room - one red, one blue, one purple. They are LED and do not get warm when turned on. You want to know which switch turns on which light bulb. What is the best way to determine this?",A process of elimination. Test each switch independently and observe which light bulb turns on for each.,Turing each switch on one at a time and observing the bulbs.
17,Puzzle,"The Poisoned Wine - A king has 1000 sweet bottles of wine, and one contains a very bitter poison. The poison takes effect exactly 24 hours after consumption. The king needs to find the poisoned bottle in 24 hours for an event. He has 10 prisoners to test the wine. What is the fastest way for him to identify the poisoned bottle?","Divide the 1000 bottles of wine amongst the 10 prisoners - each receiving 100 bottles. Ask the prisoners to note which bottle tastes very bitter, this is the poisoned one.",Divide the bottles of wine amongst the prisoners and get them to note which one tastes bitter.
18,Linguistic,Write a grammatically correct sentence without reusing any letter more than once.,Dogs bark with me.,Dogs bark with me.'
